frase;situacao
sinto dor no peito e falta de ar ao esforço;alto risco
tive um leve incômodo nas costas após trabalhar;baixo risco
palpitações fortes acompanhadas de tontura;alto risco
dor leve de cabeça sem outros sintomas;baixo risco
aperto no peito e suor frio ao caminhar;alto risco
cansaço leve no fim do dia;baixo risco
batimento irregular e falta de ar ao deitar;alto risco
mal-estar inespecífico sem dor torácica;baixo risco
dor no peito em queimação depois de subir escadas;alto risco
dor muscular após academia;baixo risco
falta de ar súbita e tontura;alto risco
leve dor de cabeça e estresse no trabalho;baixo risco
pressão na cabeça e visão turva;alto risco
desconforto gástrico leve;baixo risco
inchaço nas pernas e cansaço aos esforços;alto risco
nariz entupido e espirros;baixo risco
batimentos acelerados com fraqueza;alto risco
cólica abdominal leve;baixo risco
